Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,43.720001,46.740002,41.049999,46.340000,46.340000,188601
2009-01-04,null,null,null,null,null,null
2009-01-05,47.040001,49.279999,45.560001,48.810001,48.810001,184679
2009-01-06,48.400002,50.470001,47.599998,48.580002,48.580002,258762
2009-01-07,48.410000,49.090000,42.410000,42.630001,42.630001,331307
2009-01-08,42.630001,43.630001,40.540001,41.700001,41.700001,306262
2009-01-09,42.450001,42.700001,39.380001,40.830002,40.830002,312485
2009-01-11,null,null,null,null,null,null
2009-01-12,40.549999,40.799999,37.480000,37.590000,37.590000,277431
2009-01-13,37.490002,39.500000,36.099998,37.779999,37.779999,272828
2009-01-14,38.720001,39.450001,35.520000,37.279999,37.279999,340615
2009-01-15,37.340000,37.990002,33.200001,35.400002,35.400002,311078
2009-01-16,35.279999,36.869999,34.180000,36.509998,36.509998,179925
2009-01-18,null,null,null,null,null,null
2009-01-20,36.139999,39.549999,32.700001,38.740002,38.740002,97975
2009-01-21,40.910000,44.430000,40.240002,43.549999,43.549999,354707
2009-01-22,44.209999,45.099998,40.410000,43.669998,43.669998,276261
2009-01-23,43.259998,47.000000,41.400002,46.470001,46.470001,317569
2009-01-25,null,null,null,null,null,null
2009-01-26,46.049999,48.590000,45.250000,45.730000,45.730000,269756
2009-01-27,45.650002,47.490002,41.410000,41.580002,41.580002,277496
2009-01-28,41.990002,43.599998,40.599998,42.160000,42.160000,308439
2009-01-29,42.220001,42.320000,40.180000,41.439999,41.439999,291416
2009-01-30,41.650002,43.439999,41.020000,41.680000,41.680000,245854
2009-02-01,null,null,null,null,null,null
2009-02-02,42.220001,42.250000,39.830002,40.080002,40.080002,237726
2009-02-03,40.279999,41.169998,39.650002,40.779999,40.779999,263645
2009-02-04,40.930000,41.919998,39.740002,40.320000,40.320000,244615
2009-02-05,40.299999,41.250000,39.459999,41.169998,41.169998,254203
2009-02-06,41.000000,42.680000,38.599998,40.169998,40.169998,229734
2009-02-08,null,null,null,null,null,null
2009-02-09,39.880001,42.430000,39.419998,39.560001,39.560001,518382
2009-02-10,39.759998,41.799999,37.349998,37.549999,37.549999,317497
2009-02-11,38.150002,38.470001,35.650002,35.939999,35.939999,359674
2009-02-12,35.919998,36.250000,33.549999,33.980000,33.980000,315650
2009-02-13,34.360001,38.250000,33.810001,37.509998,37.509998,326176
2009-02-15,null,null,null,null,null,null
2009-02-17,37.810001,38.490002,34.450001,34.930000,34.930000,281710
2009-02-18,35.020000,36.220001,34.130001,34.619999,34.619999,153708
2009-02-19,34.750000,39.849998,34.590000,39.480000,39.480000,73864
2009-02-20,38.860001,39.500000,36.910000,38.939999,38.939999,82550
2009-02-22,null,null,null,null,null,null
2009-02-23,39.730000,41.490002,37.869999,38.439999,38.439999,244809
2009-02-24,38.099998,40.130001,37.650002,39.959999,39.959999,285905
2009-02-25,39.919998,42.830002,39.400002,42.500000,42.500000,238188
2009-02-26,42.389999,45.299999,42.270000,45.220001,45.220001,323428
2009-02-27,44.590000,44.910000,42.549999,44.759998,44.759998,287202
2009-03-01,null,null,null,null,null,null
2009-03-02,44.340000,44.490002,39.840000,40.150002,40.150002,274579
2009-03-03,40.099998,42.070000,39.439999,41.650002,41.650002,245234
2009-03-04,41.380001,45.759998,41.040001,45.380001,45.380001,241538
2009-03-05,45.419998,45.700001,42.860001,43.610001,43.610001,319761
2009-03-06,43.610001,46.299999,43.450001,45.520000,45.520000,228192
2009-03-08,null,null,null,null,null,null
2009-03-09,45.759998,48.830002,44.970001,47.070000,47.070000,306347
2009-03-10,47.250000,48.320000,45.330002,45.709999,45.709999,390590
2009-03-11,45.570000,46.040001,42.080002,42.330002,42.330002,289157
2009-03-12,42.730000,47.220001,42.509998,47.029999,47.029999,339876
2009-03-13,47.209999,48.139999,45.599998,46.250000,46.250000,316566
2009-03-15,null,null,null,null,null,null
2009-03-16,45.200001,47.630001,43.619999,47.349998,47.349998,221028
2009-03-17,47.060001,49.820000,46.529999,49.160000,49.160000,240078
2009-03-18,48.669998,49.869999,46.919998,48.139999,48.139999,214930
2009-03-19,49.730000,52.250000,48.779999,51.610001,51.610001,125337
2009-03-20,51.060001,52.130001,50.299999,51.060001,51.060001,96379
2009-03-22,null,null,null,null,null,null
2009-03-23,52.130001,54.049999,51.619999,53.799999,53.799999,180152
2009-03-24,53.830002,54.060001,52.450001,53.980000,53.980000,229890
2009-03-25,53.730000,54.180000,51.860001,52.770000,52.770000,212790
2009-03-26,52.840000,54.660000,52.759998,54.340000,54.340000,283727
2009-03-27,54.000000,54.279999,51.639999,52.380001,52.380001,196916
2009-03-29,null,null,null,null,null,null
2009-03-30,52.250000,52.250000,48.110001,48.410000,48.410000,181165
2009-03-31,48.639999,50.000000,47.770000,49.660000,49.660000,222171
2009-04-01,48.959999,48.959999,47.259998,48.389999,48.389999,240254
2009-04-02,48.450001,52.869999,48.450001,52.639999,52.639999,234224
2009-04-03,52.360001,53.900002,51.020000,52.509998,52.509998,270270
2009-04-05,null,null,null,null,null,null
2009-04-06,52.400002,53.599998,49.810001,51.049999,51.049999,212172
2009-04-07,51.389999,51.820000,48.400002,49.150002,49.150002,228983
2009-04-08,48.470001,51.299999,47.369999,49.380001,49.380001,254031
2009-04-09,49.959999,52.450001,49.720001,52.240002,52.240002,352611
